Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Dai-ichi Karkaria Ltd,https://www.dai-ichiindia.com/,Pune (Kurkumbh),Custom synthesis & specialty chemicals,"Specialty surfactants, emulsifiers, oilfield chemicals used in paints, oil & gas, agrochemicals",?300–500 Cr,Meher Vakil Taff,Co- Founder and (MD),Ex Co-Founder(Natch Snack),Strong,Own manufacturing plants in Kurkumbh with in-house production of specialty chemicals,Strong,Headquartered in India with primary manufacturing operations in Pune,Strong,Produces niche surfactants and oilfield chemicals; R&D recognized by Government of India,Moderate,"Co- Founder Meher Vakil Taff is Business Administrator Economics , Business",Strong,Supported by Make in India initiatives and policy push for domestic chemical manufacturing,Strong,"Specialty chemicals sector supported by export growth, China+1 trend, and domestic demand",80,A Strong federer,Pass,"Mid-sized specialty chemical manufacturer with strong product differentiation and manufacturing capabilities, but partially institutionalized and lacking clear technical founder signal",Your early work in developing demulsifiers for ONGC and continued focus on specialty surfactants for oilfield applications stood out,"Company website LinkedIn
Industry references"
Melzer Chemicals Pvt Ltd,https://www.melzerspeciality.com/,Pune (Kurkumbh MIDC – manufacturing plant),Custom synthesis & specialty chemicals,"Biocides, preservatives, polymers, and specialty chemicals for water treatment, oil & gas, coatings, and industrial applications",?100–300 Cr,Sunil B. Shinde,Director,Sunil Balkrishna Shinde has 31 years in corporate governance. Holds Director and Additional Director roles,Strong,"Own manufacturing facilities in Pune producing biocides, polymers, and specialty chemicals",Strong,India-based company with Pune HQ and MIDC manufacturing plant,Moderate–Strong,"Specialized in biocides and water treatment chemicals serving multiple industrial sectors, though no strong patent/IP evidence publicly visible",Moderate,"Promoters have deep industry experience (~30 years), but no clear scientific/technical academic background found",Strong,"Specialty chemicals sector benefits from China+1 shift, rising export demand, and increasing consumption in water treatment, oil & gas, and industrial applications",Strong,"Revenue growth (~?202Cr ? ?266Cr), ongoing capex for capacity expansion, and diversified export base (~45% exports)",85,A Strong federer,Strongly-Pass,"Mid-sized specialty chemical manufacturer with in-house production, diversified industrial applications, and visible growth through expansion and exports, though technical founder signal is moderate","Your expansion in biocides and water treatment chemicals, along with recent capacity additions and export growth, stood out","Company website
CRISIL reports
Tofler / Tracxn
LinkedIn"
Demech Chemical Products Pvt Ltd,https://www.demechchemical.com/,Pune (Bhosari MIDC – manufacturing facility),Custom synthesis & specialty chemicals,"Epoxy-based coatings, composite repair materials, corrosion-resistant coatings for industrial equipment",?50–100 Cr,Jyoti Bhide,MD & CEO,MBA (The University of Western Australia),Strong,"Manufactures epoxy coatings, composites, and repair chemicals for industrial applications",Strong,Pune-based manufacturing operations in MIDC industrial area,Moderate,"Focus on corrosion protection and composite repair solutions, but products are application-based rather than highly proprietary niche chemistry",Strong,"Managing Director has a technical (B.Tech) and management (MBA) background, though current role appears more business-oriented",Strong,"Demand driven by industrial maintenance, infrastructure, oil & gas, and corrosion protection needs, though not as high-growth as core specialty chemicals",Moderate,"Active operations and product portfolio expansion, but limited visible hiring or major recent expansion announcements",70,B Probable Federer,Pass,"Mid-sized manufacturer with technical leadership and industrial applications, but limited differentiation and moderate growth signals reduce overall ICP strength",Your focus on corrosion-resistant coatings and composite repair solutions for critical industrial equipment stood out,"Company website
LinkedIn
CRISIL / Tracxn (if used)
Industry inference (for sector tailwinds)"
Chembond Chemicals Ltd,https://www.chembondindia.com/,Pune (Operational presence) + HQ in Navi Mumbai,Custom synthesis & specialty chemicals,"Water treatment chemicals
Construction chemicals
Industrial hygiene & specialty formulations",?200–400 Cr,Mr. Nirmal V. Shah,MD ,"SME Executive Program, Indian Institute of Management Ahmedabad",Strong,Manufactures specialty chemicals across multiple industrial applications,Strong,India-headquartered with multiple domestic manufacturing facilities,Strong,"Application-specific specialty chemicals across water treatment, infrastructure, and industrial sectors",Strong,"Current MD has a management background (IIM Ahmedabad) rather than a core technical/scientific background; however, the company retains a strong technical foundation",Strong,"chemicals sector benefits from China+1 shift, rising industrial demand, and increasing need for water treatment and infrastructure chemicals",Moderate,50+ years legacy with expansion into multiple business verticals,90,A Strong federer,Strongly-Pass,"Mid-sized specialty chemical manufacturer with strong technical founder, diversified application-driven products, and sustained growth, fitting well within ICP despite multi-location operations","Your long-standing work in water treatment and industrial specialty chemicals, particularly your early focus on corrosion protection solutions, stood out","Company website
LinkedIn
Screener
CRISIL"
Modepro India Pvt Ltd,http://modepro.co.in/,Pune (Kurkumbh MIDC – manufacturing plant),Custom synthesis & specialty chemicals,"API intermediates (late-stage pharma intermediates)  
fine chemicals
thiophene derivatives",?75–100 Cr,Mathew Philip Kavalam,Director,B.Pharm (Manipal Academy of Higher Education),Strong,"Own multipurpose plant with reactors, process scale-up capability",Strong,India-based company with Pune manufacturing facility,Strong,"API intermediates (late-stage)
thiophene chemistry specialization
process development capabilities",Moderate,"leadership in industrial/technical domain 
BUT Not clear in “scientist-founder” publicly document",Strong,"Pharma intermediates and specialty chemicals benefit from China+1 shift, export demand, and global pharma outsourcing",Strong,"USFDA audited facility (2022)
international pharma clients
expansion proposals (API plant)",85,A Strong federer,Strongly-Pass,"Mid-sized specialty chemical manufacturer focused on pharma intermediates with strong process capabilities and export orientation, fitting well within ICP despite moderate visibility of technical leadership","Your focus on late-stage API intermediates and thiophene chemistry, along with your USFDA-audited manufacturing capabilities, stood out","Website
Tofler / Screener
LinkedIn
Govt / report (optional but strong)"
Lavender Laboratories Pvt Ltd,https://lavenderlabs.co.in/,Pune (Kurkumbh MIDC – manufacturing facility),Custom synthesis & specialty chemicals,"API intermediates
fine chemicals
custom synthesis (CDMO services)
process development & scale-up","?72 Cr (FY2025 approx)
falls in ?50–100 Cr range",Dr. Dnyandeo Pathare,MD ,P.Hd in Chemisrty(Savitribai Phule Pune University),Strong,Manufacturing + scale-up + CDMO capabilities in pharma intermediates,,StronPune-based MIDC manufacturing unitg,Strong,Custom synthesis + CDMO + process development (niche pharma segment),Strong,"Managing Director holds a PhD in [relevant field, e.g., Chemistry/Chemical Engineering], indicating strong technical/scientific leadership",Strong,Pharma intermediates and CDMO sector benefit from China+1 shift and global outsourcing demand,Moderate, Revenue ~?70 Cr range; limited visible hiring/expansion signals,85,A Strong federer,Strongly-Pass,"Mid-sized custom synthesis and pharma intermediate manufacturer with in-house capabilities, fitting ICP despite moderate technical leadership visibility","Your focus on custom synthesis and CDMO services for pharma intermediates, along with your process development capabilities, stood out","Company website
Tofler / Tracxn
LinkedIn
MCA filings"
ASK Chemicals India Pvt Ltd,https://www.ask-chemicals.com/,Pune (Kurkumbh / Ranjangaon manufacturing presence),"Specialty chemicals (foundry chemicals, industrial resins)","Foundry chemicals (binders, coatings, risers, additives)
Industrial resins","?340 Cr revenue (FY25)
falls in ?100–500 Cr range",Manish Patrikar,Director,Ex Vice President(Technology & Marketing),Strong,Chemical manufacturing + foundry solutions production in India,Strong,Pune-based entity with manufacturing operations,Strong,Specialized foundry chemicals + industrial resins + global R&D network,Strong,MD has technology + marketing leadership experience,Moderate,Industrial chemicals + foundry + manufacturing ecosystem growth,Strong,"active hiring / global operations
revenue growth in recent years",85,A Strong federer,Strongly-Pass,"Mid-sized specialty chemical manufacturer (~?300Cr revenue) with strong local operations and technically experienced leadership, but part of a global parent group, making it a near-fit with ownership caveat","Your leadership in foundry chemicals and industrial resins, along with strong technical and marketing-driven operations in India, stood out","Website  
Tofler 
LinkedIn  
Tracxn  
Govt doc  expansion"
Shogun Organics Limited,https://shogunorganics.com/,Pune (Kurkumbh MIDC – manufacturing plant,Custom synthesis & specialty chemicals (household insecticide actives / agrochemicals),"Active ingredients for mosquito repellents
agrochemical technicals
household insecticide chemicals",?279 Cr revenue (FY25),Neeraj Jindal,MD,Technical + business background,Strong,Manufactures active chemical ingredients at Kurkumbh plant,Strong,Manufacturing presence in Pune MIDC,Strong,Proprietary molecule (Renofluthrin) + insecticide actives,Strong,Leadership includes chemical engineering background (Neeraj Jindal),Strong,Agrochemicals + household insecticides demand growing,Strong,revenue jump ?150Cr ? ?279Cr,90,A Strong federer,Strongly-Pass,"Mid-sized specialty chemical manufacturer (~?280Cr revenue) focused on insecticide active ingredients with strong technical capabilities and growth momentum, fitting well within ICP despite group affiliation",Your development of proprietary mosquito repellent molecules like Renofluthrin and strong growth in insecticide actives stood out,Company + CRISIL report Company website Linked IN
Elkay Chemicals Pvt Ltd,https://elkaysilicones.com,Pune (Bhosari MIDC + Aundh office),Specialty chemicals (silicone-based performance chemicals),"Silicone fluids
silicone emulsions
antifoams
specialty silicone formulations",?241 Cr revenue (FY25),Dr. Ravi Kulkarni,Owner ,D.Eng.Sc Engineering(Columbia University),Strong,Manufactures silicone specialty chemicals (own plant in Bhosari),Strong,Pune-based manufacturing + India HQ,Strong,"Silicone chemistry = niche, high-performance segment",Strong,Founder/leader has technical (PhD-level) background,Strong,"Silicone chemicals used in multiple growing industries (personal care, pharma, construction)",Moderate,"steady revenue scale (~?241Cr)
BUT profitability decline seen recently",85,A Strong federer,Strongly-Pass,"Mid-sized specialty silicone chemical manufacturer (~?240Cr revenue) with strong niche positioning, promoter-led technical leadership, and diversified industrial applications, fitting well within ICP","Your strong focus on silicone-based specialty chemicals across industries like personal care, pharma, and petrochemicals stood out","Company Website
LinkedIn
Tofler
Tracxn"
Innovassynth Technologies (India) Ltd,https://www.innovassynth.com,Maharashtra (Khopoli – near Pune belt,Specialty chemicals (silicone-based performance chemicals),"Specialty chemicals
pharmaceutical intermediates
nucleosides & advanced molecules
custom synthesis (CRDMO/CDMO model)",?100–120 Cr,Hardik Joshipura,MD & CEO,P.HD,Strong,Manufacturing + scale-up + CRDMO,Strong,Maharashtra plant (Khopoli),Strong,"nucleosides, organometallics, advanced chemistries",Strong,R&D-driven org + advanced chemistry focus,Strong,pharma outsourcing + specialty chemicals,Moderate,revenue present but profitability issues / losses,80,A Strong federer,Pass,"Mid-sized specialty chemical and CRDMO company (~?118Cr revenue) with strong capabilities in advanced chemistries and manufacturing, fitting well within ICP despite profitability fluctuations","Your expertise in nucleosides and advanced specialty chemistries, along with your CRDMO capabilities, stood out","Website  
Tofler 
LinkedIn  
Tracxn  
Govt doc  expansion"
